scenario,connect,send,wait,history,total
serial-100,60.008,241.97731,57.30236,31.15816,330.46091
1c1i-10w,1309.5438,244.89254,12700.28378,121.83999,13067.03475
1c2oc-2x5w,2204.6405999999997,279.83727999999996,6319.43517,131.8714,6731.1663
