scenario,total_mean,total_p50,total_p95,total_p99
serial-100,330.46091,321.276,345.605,551.666
1c1i-10w,13067.03475,13988.001,16047.475,16498.625
1c2oc-2x5w,6731.1663,6985.39,9781.57,10320.16
