scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
serial-100,251.345,275.884,51.096,62.223,68.254,35.589,40.016,345.605,551.666
1c1i-10w,447.178,473.138,13585.084,15736.511,16233.156,321.422,523.67,16047.475,16498.625
1c2oc-2x5w,313.472,697.732,6642.087,9162.688,9947.414,360.458,575.302,9781.57,10320.16
