scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
multi-5x4w-stag150,176.612,456.838,9839.183,20360.119,23193.995,16.762,3177.779,20542.859,26375.973
multi-5x4w-stag300,54.262,264.763,9561.867,26487.444,26501.746,16.476,3126.225,26506.011,26514.537
multi-5x4w-stag500,8.957,29.428,9240.93,12456.642,16416.381,15.963,3013.23,12467.021,19433.761
