scenario,connect,send,wait,history,total
vps-docker-single-task-00-500-full,314.671,2.894924,968.853072,83.169346,1054.943476
vps-docker-multi-task-00-500-10x50,1336.1206,5.443102,10148.61982,64.07442,10218.162896
