scenario,cpu_percent,rss_kib,kb_wr_per_s,iodelay,cswch_per_s,nvcswch_per_s
vps-docker-single-task-00-500-full,44.009507575757574,1425805.6742424243,1143.203125,0.0,36690.49736742424,0.08333333333333333
vps-docker-multi-task-00-500-10x50,43.08595375722543,1024012.7784200385,1169.9569171483622,0.0,37021.16317919076,0.06165703275529865
