scenario,docker_cpu_peak,docker_cpu_peak_t_sec,docker_mem_peak,docker_mem_peak_t_sec,pidstat_cpu_peak,pidstat_cpu_peak_t_sec,pidstat_rss_peak,pidstat_rss_peak_t_sec,iostat_pct_util_peak,iostat_pct_util_peak_t_sec,iostat_w_await_peak,iostat_w_await_peak_t_sec,vmstat_interrupts_peak,vmstat_interrupts_peak_t_sec,vmstat_context_switches_peak,vmstat_context_switches_peak_t_sec,perf_context_switches_peak,perf_context_switches_peak_t_sec
vps-docker-single-task-00-500-full,96.98,80.727271,4.3,163.969563,123.0,80.0,2872724.0,80.0,8.1,346.0,23.46,320.0,94591.0,339.0,177358.0,419.0,112.447,467.522522877
vps-docker-multi-task-00-500-10x50,122.77,108.45925,3.21,2.521822,134.0,4.0,2160224.0,4.0,9.6,432.0,45.5,82.0,94242.0,215.0,177317.0,215.0,134.371,519.571365792
