scenario,run_dir,sample_count,fs_worker_exec_count,fs_worker_exec_pct,fs_callback_count,fs_callback_pct,event_loop_poll_count,event_loop_poll_pct,microtask_count,microtask_pct,futex_sync_count,futex_sync_pct,worker_message_count,worker_message_pct,json_parse_count,json_parse_pct,libuv_worker_other_count,libuv_worker_other_pct,gateway_main_other_count,gateway_main_other_pct,v8_worker_count,v8_worker_pct,other_count,other_pct
vps-docker-single-task-00-500-full,/root/client-harness/out/20260325T165722Z_vps-docker-single-task-00-500-full,902662.0,490.0,0.05428388477636147,,,65144.0,7.216876305859779,711433.0,78.81499387367586,654.0,0.0724523686606947,1.0,0.00011078343831910505,,,5593.0,0.6196117705187546,85769.0,9.50178472119132,28960.0,3.2082883737212824,4618.0,0.5115979181576271
vps-docker-multi-task-00-500-10x50,/root/client-harness/out/20260325T170949Z_vps-docker-multi-task-00-500-10x50,,,,,,,,,,,,,,,,,,,,,,,
