,vps-docker-single-task-00-500-full,vps-docker-multi-task-00-500-10x50
openat,0.0279600186047681,0.027732892995364536
statx,0.021627060718993604,0.021773933599574413
newfstatat,0.02109971772396375,0.021313524590163935
pread64,0.01932394366197183,0.019732394366197184
clone,5.542361111111111,4.728571428571429
sched_yield,0.032,0.029
futex,42.15301315024557,39.31095517582021
read,0.022003580153465898,0.02188125371249378
write,0.03049093701649971,0.03096866501702722
