scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-w,4.989,11.338,10577.986,11599.22,23612.275,10.934,17.26,11609.176,28131.085
multi-25x4w-stag500,23.974,56.965,14114.849,19210.958,40541.727,16.97,33.874,19222.43,40556.523
multi-inst-25x4i,26.177,40.431,11218.41,18914.857,24114.181,31.825,4425.834,21382.561,24126.145
multi-inst-25x2ix2w-500,13.064,607.758,14856.026,24575.436,49032.395,16.033,10314.694,24593.755,49043.411
