scenario,total_mean,total_p50,total_p95,total_p99
single-w,10716.11214,10587.211,11609.176,28131.085
multi-25x4w-stag500,15793.655120000001,14126.145,19222.43,40556.523
multi-inst-25x4i,11431.21781,11228.398,21382.561,24126.145
multi-inst-25x2ix2w-500,14234.74378,14867.862,24593.755,49043.411
