scenario,total_mean,total_p50,total_p95,total_p99
single-inst-25x4i-stag0,11431.21781,11228.398,21382.561,24126.145
single-inst-25x4i-0-lim,11033.727690000002,9111.592,24321.906,70557.738
single-inst-25x4i-stag300-lim,14128.45746,14534.146,28468.426,31069.254
single-inst-25x4i-stag500-lim,13346.00635,11431.9,24590.342,37922.371
