scenario,run_dir,run_started_at,run_finished_at,run_wall_clock_sec,first_request_started_at,last_request_finished_at,request_window_sec
multi-inst-25x1dx4ix1w-stag150,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T150108Z_vps-docker-qwen3-235b-multi-inst-25x1dx4ix1w-stag150-worker,2026-04-20T15:01:17.067384+00:00,2026-04-20T15:12:48.819452+00:00,691.752068,2026-04-20T15:01:17.577751+00:00,2026-04-20T15:12:26.290608+00:00,668.712857
multi-inst-25x1dx4ix1w-stag300,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T151815Z_vps-docker-qwen3-235b-multi-inst-25x1dx4ix1w-stag300-worker,2026-04-20T15:18:24.219405+00:00,2026-04-20T15:25:31.657047+00:00,427.437642,2026-04-20T15:18:25.186520+00:00,2026-04-20T15:25:06.563772+00:00,401.377252
multi-inst-25x1dx4ix1w-stag500,/root/Zehao/ClawHarness/out/batch_run_5/task-01/20260420T153103Z_vps-docker-qwen3-235b-multi-inst-25x1dx4ix1w-stag500-worker,2026-04-20T15:31:12.180525+00:00,2026-04-20T15:40:57.872852+00:00,585.692327,2026-04-20T15:31:13.248357+00:00,2026-04-20T15:40:30.400265+00:00,557.151908
